CHAIN_ID, CLIENT (STATUS), CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
injective-1, 07-tendermint-215 (Expired), connection-201, channel-150, transfer, cosmoshub-4, 07-tendermint-1185, connection-912, channel-700, transfer
injective-1, 07-tendermint-216 (Active), connection-202, channel-151, transfer, phoenix-1, 07-tendermint-369, connection-311, channel-255, transfer
injective-1, 07-tendermint-216 (Active), connection-202, channel-272, wasm.inj1eksx0xjfzdcvesfq0kk7fcdv534ajrmccg27ah, phoenix-1, 07-tendermint-369, connection-311, channel-397, wasm.terra1pmhsahmn5eymdn07yahp9692jnqyh54f7pak82v4nwzylgfrvkaq8grraa
injective-1, 07-tendermint-216 (Active), connection-202, channel-289, wasm.inj1tr0uhnh6dwtvaunnpa3zcdrq3gvq9y47jrysu8, phoenix-1, 07-tendermint-369, connection-311, channel-488, wasm.terra1vf2janv5s6ywsa8lj4m5q7jdw3wfqpmgtkgdllh24l2shz0qyv4qvtjkuk
injective-1, 07-tendermint-216 (Active), connection-202, channel-317, wasm.inj193lcenknetk7ugaxpn43kfynz9x224c5rxesdn, phoenix-1, 07-tendermint-369, connection-311, channel-499, wasm.terra1ed3qw4y4ca3lpj82ugg2jqsjr9czd0yyldcpp5n5yd7hu6udqafslz0nmg
injective-1, 07-tendermint-216 (Active), connection-202, channel-347, wasm.inj1nl40h82ervq4s9nsquzzljvjx328y7clv7adc6, phoenix-1, 07-tendermint-369, connection-311, channel-527, wasm.terra1aa2u0y2zjk62879e4at9x3nzhlml7n8v43dagjnur6ksqwe0pnesxmykeh
injective-1, 07-tendermint-216 (Active), connection-202, channel-348, wasm.inj1nl40h82ervq4s9nsquzzljvjx328y7clv7adc6, phoenix-1, 07-tendermint-369, connection-311, channel-529, wasm.terra1aa2u0y2zjk62879e4at9x3nzhlml7n8v43dagjnur6ksqwe0pnesxmykeh
injective-1, 07-tendermint-216 (Active), connection-202, channel-349, wasm.inj16kscc8nwmwa0067z0u24cp0fa6hwhw3qqthvs3, phoenix-1, 07-tendermint-369, connection-311, channel-531, wasm.terra1aa2u0y2zjk62879e4at9x3nzhlml7n8v43dagjnur6ksqwe0pnesxmykeh
injective-1, 07-tendermint-216 (Active), connection-202, channel-350, wasm.inj193lcenknetk7ugaxpn43kfynz9x224c5rxesdn, phoenix-1, 07-tendermint-369, connection-311, channel-539, wasm.terra1ed3qw4y4ca3lpj82ugg2jqsjr9czd0yyldcpp5n5yd7hu6udqafslz0nmg
injective-1, 07-tendermint-216 (Active), connection-202, channel-351, wasm.inj1y2czxrx9fexxwax6y3rqeapn832kmul6ehlnvs, phoenix-1, 07-tendermint-369, connection-311, channel-542, wasm.terra1amrr5e8y472rnnntn4uap9dlmktr5trt70gp5ymwtlw07ytly7qqtclzh4
injective-1, 07-tendermint-216 (Active), connection-202, channel-356, wasm.inj1ftxyl00z7uastq3kfntg4shp5gqyyhvl4dr3kf, phoenix-1, 07-tendermint-369, connection-311, channel-544, wasm.terra1vn2n7ewlm0xdpsjdru8yc8acg93umvvl4nz8zx09svtku87wq03svfvssz
injective-1, 07-tendermint-216 (Active), connection-202, channel-357, wasm.inj1ftxyl00z7uastq3kfntg4shp5gqyyhvl4dr3kf, phoenix-1, 07-tendermint-369, connection-311, channel-547, wasm.terra1vn2n7ewlm0xdpsjdru8yc8acg93umvvl4nz8zx09svtku87wq03svfvssz
injective-1, 07-tendermint-216 (Active), connection-202, channel-358, wasm.inj1ftxyl00z7uastq3kfntg4shp5gqyyhvl4dr3kf, phoenix-1, 07-tendermint-369, connection-311, channel-548, wasm.terra1vn2n7ewlm0xdpsjdru8yc8acg93umvvl4nz8zx09svtku87wq03svfvssz
injective-1, 07-tendermint-216 (Active), connection-202, channel-359, wasm.inj1ftxyl00z7uastq3kfntg4shp5gqyyhvl4dr3kf, phoenix-1, 07-tendermint-369, connection-311, channel-549, wasm.terra1vn2n7ewlm0xdpsjdru8yc8acg93umvvl4nz8zx09svtku87wq03svfvssz
injective-1, 07-tendermint-216 (Active), connection-202, channel-360, wasm.inj1ftxyl00z7uastq3kfntg4shp5gqyyhvl4dr3kf, phoenix-1, 07-tendermint-369, connection-311, channel-550, wasm.terra1vn2n7ewlm0xdpsjdru8yc8acg93umvvl4nz8zx09svtku87wq03svfvssz
injective-1, 07-tendermint-216 (Active), connection-202, channel-361, wasm.inj1ftxyl00z7uastq3kfntg4shp5gqyyhvl4dr3kf, phoenix-1, 07-tendermint-369, connection-311, channel-551, wasm.terra1vn2n7ewlm0xdpsjdru8yc8acg93umvvl4nz8zx09svtku87wq03svfvssz
injective-1, 07-tendermint-216 (Active), connection-202, channel-362, wasm.inj14xp36v4ctskk9cqz7zwt2n559t7xzfzg8ecmqd, phoenix-1, 07-tendermint-369, connection-311, channel-555, wasm.terra1uj6at4ysw5fvtljq56dsphk45w38pekv6x6xtlge4axeymp9463qljwxmn
injective-1, 07-tendermint-216 (Active), connection-202, channel-364, wasm.inj14xp36v4ctskk9cqz7zwt2n559t7xzfzg8ecmqd, phoenix-1, 07-tendermint-369, connection-311, channel-567, wasm.terra1uj6at4ysw5fvtljq56dsphk45w38pekv6x6xtlge4axeymp9463qljwxmn
injective-1, 07-tendermint-216 (Active), connection-202, channel-367, wasm.inj1mepyreaqjxx30al2rkgsy26hnge4aujjq8xkjs, phoenix-1, 07-tendermint-369, connection-311, channel-569, wasm.terra1ukt433tc8ad7q9376j0srp4cc8ddd0zklw8nr4tya9qfy48qmqwsepn9m0
injective-1, 07-tendermint-216 (Active), connection-202, channel-371, wasm.inj1d0dfhvcdvckru78xdxdjts0ft2w555q8dyhkja, phoenix-1, 07-tendermint-369, connection-311, channel-573, wasm.terra1s9t358nypxjtyc8hntzsg745lnpsaq2z0u9vd9xkuqfguny8squsl8dwvx
